ICO;DATVZN;DATZAN;ICOP;ICON;HLSKNACE;SKNACE;FORMA;DRVLST;USORG;SNU;KATP;KATP13;SIDKRJ;SIDOKR;SIDOBEC;TYPJ;ESU2010;NAZOV;SNAZOV;PRIEZ;MENO;TITPRED;TITZA;SIDUL;SIDSUPCISLO;SIDORCISLO;SIDPSC;SIDPOSTA
36210137;29.10.2001;31.12.2500;;;35300;"43130; 71122";121;4;99;101;0;10;SK042;SK0425;SK0425599824;1100;11001;GEOTERM KOŠICE, a.s.;GEOTERM KOŠICE, a.s.;Karkó;Roland;1;;Moldavská;;12;04011;Košice 11
36246034;01.11.2001;31.12.2500;00152153;;35300;"71200; 71121; 43210; 45200";121;4;57;101;21;80;SK021;SK0217;SK0217506745;1100;11001;Trnavská teplárenská, a.s.;Trnavská teplárenská, a.s.;Lidik;Richard;1;;Coburgova;;84;91742;Trnava 2
37794663;01.09.2001;31.12.2007;;;85329;;321;4;20;610;0;999;SK041;SK0412;SK0412520004;1110;;Odborné učilište internátne pre telesne postihnutú mládež Humenné;Odborné učilište internátne pre telesne post;;;;;Komenského;;3;06601;Humenné 1
36062090;05.11.2001;20.07.2018;;;66190;;381;4;99;441;0;999;SK010;SK0102;SK0102529320;1110;13110;Recyklačný fond v likvidácii;Recyklačný fond v likvidácii;Nevický, MBA;Oto;6;;Nevädzová;;5;82101;Bratislava 3
35823551;01.11.2001;31.12.2500;00152153;;70100;"56109; 55100; 49390; 43220; 26110; 45200; 71200; 33130";121;4;99;101;22;110;SK010;SK0101;SK0101528595;1100;11001;Západoslovenská energetika, a.s.;Západoslovenská energetika, a.s.;Kley;Jochen;;;Čulenova;;6;81647;Bratislava 1
35823542;01.11.2001;31.12.2500;00152153;;35300;"56109; 71200; 46900; 35110; 55200; 49390; 45200";121;4;99;101;24;110;SK010;SK0103;SK0103529346;1100;11001;Bratislavská teplárenská, a.s.;Bratislavská teplárenská, a.s.;Raček;Vladimír;1;;Turbínová;;3;82905;Bratislava 3
37808214;01.10.1997;30.06.2006;;;;;321;4;20;610;0;999;SK031;SK0319;SK0319512729;1110;;Základná škola pri Slovenských liečebných kúpeľoch, a.s.;ZŠ pri Slovenských liečebných kúpeľoch,a.s.;;;;;SNP;;519;03901;Turčianske Teplice
37808249;01.03.1997;31.08.2006;;;;;321;4;20;610;0;999;SK031;SK0312;SK0312509132;1110;;Základná škola pri Nemocnici s poliklinikou;Základná škola pri Nemocnici s poliklinikou;;;;;Palárikova;;2311;02201;Čadca 1
37808257;01.03.1997;31.08.2006;;;;;321;4;20;610;0;999;SK031;SK031B;SK031B517402;1110;;Základná škola, Materská škola pri Nemocnici s poliklinikou;Základná škola, Materská škola pri NsP;;;;;V. Spanyola;;43;01207;Žilina 1
37808273;01.03.1997;31.08.2006;;;;;321;4;20;610;0;999;SK031;SK0313;SK0313509540;1110;;Základná škola pri Nemocnici s poliklinikou;Základná škola pri Nemocnici s poliklinikou;;;;;Nemocničná;1944;4;02601;Dolný Kubín 1
